pPartNumbers,pCatentryId
7404867,558128
7403851,558134
8331142,558154
4381244,558206
4381550,558208
4381543,558210
8580539,558226
4387822,846012
8334242,558406
4436467,558496
4433745,558498
7405244,558532
4385563,558568
4385659,558574
3953051,939532
7406016,559064
7406030,559104
7404551,559114
4435073,559330
6230070,559434
8300609,559440
8313249,559446
8317939,559452
8318471,559454
8318701,559456
8319418,559458
1201695,559466
8315034,559476
3667244,559482
8324197,559494
4425650,559500
8650043,559508
8650263,559526
8650407,559540
8328100,559546
8325275,559584
8330356,559658
8329886,559672
8329879,559674
8325299,559678
8650627,559684
8650610,559686
8650603,559688
8650586,559690
8330923,559714
8330875,559720
8328825,559756
8331049,559762
8328746,559764
8650782,559822
8650775,559824
6236940,559838
8331616,559864
6237138,559870
6237121,559872
6237114,559874
9264775,559972
8650854,560042
8650799,560046
6239466,560058
6239624,560072
6239617,560074
6239497,560084
6244743,560088
6244365,560090
8333188,560130
8333535,560136
8650892,560154
8650919,560156
8650957,560412
8650940,560414
6247812,560808
6247764,560818
6247757,560820
6247623,560826
8651224,560912
4438403,561030
4438757,561038
1270475,561218
1272868,561242
1272851,561244
1272844,561246
1273056,561254
1274299,561352
3952753,941034
1175240,1942065
1275078,561464
1275054,561468
9264768,561512
1275559,561544
1275542,561546
1275535,561548
1524279,1068432
6342298,752044
8650861,560040
6239576,560082
3919679,1350342
3922659,1350344
3177686,922538
2713584,563112
6244059,563142
6244750,563150
6232092,563186
6234038,563192
6233936,563194
6233314,563272
6236160,563338
8583471,1752441
6237059,563416
4380441,563460
4380214,563462
4380142,563464
9287305,563544
9367775,563822
9366824,563824
9039821,564424
9047019,564472
9046986,564476
9047105,564504
1616637,1083076
4320102,564872
4322083,564882
4428217,564898
4427861,564900
4324005,564912
4325949,564954
8300616,559442
4325451,564964
4325420,564966
4326663,564980
4326577,564982
4327514,565006
6233754,559564
4434335,565106
9275953,565302
9274349,565346
9274284,565350
9274277,565352
8650971,560410
6247836,560804
6247616,560828
1276668,561608
4435657,566596
4322667,566824
4322227,566828
2670469,566832
2670964,566866
2670933,566868
4325750,566896
4325602,566900
3900217,566908
4324964,566924
4500434,566930
4500427,566932
4500355,566936
4500324,566938
4500221,566940
4324469,566954
4328049,566996
4326319,567012
1274323,567022
1274316,567024
2671231,567050
4329433,567084
4329392,567090
6341048,567094
9245646,567096
9245639,567098
2671413,567106
4308021,566774
4602387,567130
4602332,567136
9281246,567180
9281198,567208
9281040,567270
4602222,566920
8645649,1779000
2761976,567426
4602394,567128
4272229,1331995
5421897,1468195
4590169,567880
4602521,567948
4602507,567950
6090753,577168
7017412,568720
7106062,568730
7017735,568736
7017728,568738
7218118,568742
7110948,568752
3154733,2022001
7018215,568758
7001064,568826
7001040,568830
7001538,569016
7113213,569094
7203439,569104
7909881,1779002
7202148,569116
6729749,1531619
7003299,569424
1918854,1120720
7004078,570122
7004250,570134
6125570,1525776
1926114,1092524
9804049,570604
9800830,570634
9800476,570658
7001916,570744
7151000,570838
7113921,571444
7003677,571448
9365650,571496
7327171,849142
7216952,572314
3923847,1350358
6503037,572348
7202870,572368
6503556,572376
6503824,572394
7202272,572484
7203116,572498
7203099,572500
7203082,572502
6504225,572550
6510154,572578
6510408,572710
7204548,572758
7205918,572794
7205884,572800
7205664,572810
7304723,572894
7304709,572896
7304606,572912
1442911,1041008
7204304,573828
8570374,684522
3939374,1350362
7190425,574966
7191785,575136
6019181,1525780
6340393,576016
6341457,576186
8754884,576206
1175226,1942067
8755405,576246
6341725,576350
6341718,576352
6341732,576354
6341897,576560
6341880,576564
6341969,576566
6108267,577138
8584968,1752449
8044738,1765954
6109565,577144
8631598,1779004
6109479,577152
6090650,577158
6090708,577172
8754097,577206
6092555,577382
6092524,577384
6092225,577388
6092139,577398
6092122,577400
6091295,577408
6092782,577410
6093592,577758
6093578,577760
6093547,577766
6093530,577768
6093523,577770
6093509,577772
6093499,577774
6095758,578114
6095741,578116
6108009,579016
6090399,579062
8752659,579072
6090715,579090
6090698,579092
8753380,579094
6091233,579112
6090973,579116
8753696,579120
4151034,579134
8754059,579136
6091769,579146
6091707,579148
6091415,579152
6091910,579192
6091903,579194
8754664,579200
8754451,579206
3924073,1309589
8754736,579224
8586791,1752451
6092421,579298
6092366,579310
4151106,579318
6092146,579326
8751014,574200
6091439,579332
4151412,579336
4109914,1350368
6092892,579466
6093114,579482
8755395,579512
2578956,1137712
8336264,789586
5435766,1468197
9328673,579992
9328642,579994
9328635,579996
9328604,579998
6095734,580094
6095679,580104
8335722,917700
6095617,580114
6095411,580128
6095404,580130
6096300,580376
9063983,789756
1436886,1051124
7018978,1557761
8751698,582932
8757049,582934
8759047,582940
8752817,582986
8752714,582988
8752491,582990
8752422,582992
8753184,583004
8753407,583010
8753397,583012
8500753,583020
8754334,583042
8754293,583044
8754231,583048
8753737,583082
8754860,583144
8755027,583146
8755254,583190
8755625,583206
8755601,583210
8755584,583214
8755429,583224
8755333,583230
8755261,583238
8755993,583252
8755979,583254
4182436,1350374
8758770,583442
9296523,583480
2328876,1189744
9327832,583542
9327722,583576
9350043,583586
9350012,583590
9010826,583854
9011179,583882
9018787,583892
2211701,584488
2220187,584492
2220235,584494
2311216,584508
2319706,584532
4089467,1350376
4251831,584544
2323802,584560
2303633,584598
2231688,584606
2300306,584636
2232618,584648
2300791,584664
2300784,584666
3978287,1350378
2324818,584726
4151010,584748
4150963,584750
2228495,584764
2140896,585136
2231516,585180
6095662,580106
2325381,585204
4250801,585220
4151986,585226
2326421,585360
2326050,585362
2280804,585370
4152411,585402
4252225,585480
4152686,585490
2327152,585506
4153032,585580
2242787,585662
2242543,585708
2242495,585726
3910159,1350380
2032069,586406
2033532,586412
2035183,586420
2035334,586430
2080633,586438
2083788,586444
2083843,586446
2089517,586452
2093527,586458
2095721,586460
2101787,586480
2103417,586486
2113366,586488
2114578,586490
2118275,586496
2342319,586518
2346346,586530
2350923,586538
2423252,586556
2433905,586562
2437248,586568
2439954,586572
2508579,586574
2511315,586578
2513234,586580
2515744,586582
2517395,586584
2543149,586588
2542157,586594
2427485,586608
2107956,586618
2107420,586620
2427722,586632
2036261,586634
2335326,586644
2547619,586652
2333892,586658
2109954,586664
2109772,586666
2036450,586674
2035767,586676
2429809,586688
2190334,586696
2120885,586698
2030566,586704
2030463,586710
2771014,586714
2191993,586738
2106524,586752
2030597,586770
2109150,586808
2779384,586810
2779298,586814
4029427,1350382
2410849,586826
2410832,586828
2410791,586830
2410784,586832
2109466,586856
2104478,586862
2830807,586876
2413145,586898
2195944,586904
2123277,586916
2123239,586918
2123222,586920
2123105,586922
2834126,586938
2125309,586940
2125086,586942
2125079,586944
2124977,586948
2122560,586954
2122553,586956
2122285,586958
2412201,586970
2196266,586976
2835008,586992
2125907,587004
2124393,587012
2031118,587022
2194220,587028
2180753,587042
2198350,587054
2126061,587064
6068912,1523402
2413781,587072
2197007,587092
2413262,587094
2413255,587096
2184137,587108
2126171,587124
2835668,587128
6096283,580380
2839286,587132
2830364,587134
2126243,587148
2107138,587162
2031455,587168
2031338,587170
2126504,587182
9249556,587236
2127228,587258
2126951,587278
2125024,587290
2031510,587296
2031493,587300
2031417,587302
2031352,587304
2199074,587310
2199438,587326
2199373,587332
2413956,587340
2199256,587348
2199108,587358
2198075,587366
2196376,587368
9276581,587398
2127637,587430
2127606,587434
2126535,587442
2031541,587454
2199782,587470
2197629,587492
2197265,587510
2128306,587652
9350830,587742
2194574,587880
2128904,587924
2128894,587926
8754262,583046
9021987,587948
2031895,587956
4174028,1350386
2031864,587976
2031840,587984
2199531,588026
6993898,1557775
6989761,1557777
2212872,588336
2330431,588358
2330596,588360
2402644,588364
2509516,588376
2511195,588384
2513306,588388
2533393,588400
2533609,588402
2534361,588404
2535975,588406
2541093,588412
2427492,588418
2226978,588430
2545738,588432
2547602,588444
2547451,588446
2231248,588460
2231224,588462
2231200,588464
2231190,588466
2770558,588472
2772295,588488
2772271,588490
2407285,588500
2191986,588504
2229229,588512
2775591,588522
2775216,588524
2770417,588530
2776710,588540
2778330,588562
2546782,588576
2779913,588608
8650995,791716
2235866,588682
2196503,588688
2834975,588712
2408411,588726
2324447,588790
2838555,588830
2838940,588834
2838799,588842
2837491,588924
2839901,588964
2198879,588996
9274480,589052
9274442,589060
9262461,589070
9277171,589100
9277126,589108
9285424,589128
9350380,589304
9351114,589368
9350768,589442
9383955,589598
9024056,589628
9023545,589728
9025873,589756
2245856,589812
3676778,589896
4184434,1350388
8503413,590496
8504405,590500
8577092,1752455
8505332,590520
8505387,590522
8505590,590526
4226309,590530
8553267,590536
9064463,746532
2511205,586576
4229227,590560
8500485,590594
2106256,586598
4200442,590630
8501240,590696
8500492,590704
4232764,590732
3839364,590738
8500674,590752
8501415,590778
8500760,590782
6244073,792422
8501075,590854
4234920,590862
2030731,586784
4235314,590892
8550741,591026
4237776,591214
4239781,591356
4239963,591422
4083377,591508
4007456,591702
8400444,592128
8404718,592148
8405391,592154
8406950,592172
8411220,592188
8409548,592190
5441509,1443975
8406785,592200
8421430,592212
8422381,592240
8422013,592250
8011778,592266
8011156,592272
8422680,592290
8422958,592300
8422350,592316
8423524,592322
8423517,592324
8423548,592328
8430029,592336
8425766,592410
8424798,592426
8613286,592434
8424585,592458
8423081,592468
8423043,592472
8012739,592508
8613561,592558
8613949,592612
8423335,592650
1918782,1120726
8426954,592702
8615727,592836
8615583,592858
8615576,592860
8613169,592862
8613145,592866
8613121,592868
8615507,592870
8613073,592872
8428378,592876
8615466,592884
8428251,592898
8428086,592918
8428079,592922
8615105,592958
8615088,592962
8424626,592988
8615002,592994
2542078,588410
8614993,592998
8613640,593010
8615882,593022
8615875,593024
1220528,593066
2772680,588480
3904732,851092
8429140,593216
8012801,593218
8429047,593278
8423328,593292
4242008,1350390
6063041,1536574
8404457,594018
2703477,594100
8421155,594106
2706247,594174
2719629,594274
4810447,595842
6991247,1555042
3473108,595988
3479865,596000
3761913,596044
3763090,596046
9241358,596160
3765919,596196
9247053,596298
3767780,596306
3767773,596308
3677179,596314
4153733,794368
3988301,596390
3988404,596444
3988394,596446
8895822,1920898
3768837,596522
3768703,596532
3765122,596534
3766413,596608
3766372,596610
3766004,596628
3762747,596630
9021107,597272
9020706,597290
9045200,597420
8701480,597500
8705273,597510
8704951,597512
8705077,597558
4256410,1346469
8706313,597600
8706526,597652
8706519,597654
4241597,1350392
8707099,597884
8707037,597890
3768772,598002
1664830,1057648
8336161,795592
6265227,1523370
9046742,598892
5518250,599038
5523702,599046
5523692,599048
4029630,1350394
5528666,600108
5528642,600114
5529610,600126
5528460,600150
9031544,600204
7020636,600406
7020612,600412
7020605,600416
7020588,600428
7020526,600446
7020454,600480
7020423,600488
7020416,600490
7020227,600562
7020210,600570
7020849,600576
7020186,600580
7020179,600584
7020818,600596
7020801,600600
7020791,600602
7020117,600604
7020746,600616
7020090,600618
4024673,1350396
7020052,600634
7020007,600644
3652132,600920
3664120,600924
3665514,600926
3670846,600932
3670695,600934
3670688,600936
9073007,796994
3650127,600978
9072644,797162
3675432,601034
3672985,601058
3650921,601096
3886599,601348
3678312,601432
9057322,798022
8505459,798478
6514521,1524254
7021501,799628
7021415,799598
1874211,1120732
3322747,800016
3837926,602318
3900059,602334
3900516,602340
3900468,602342
3900781,602346
3901072,602356
3495533,602368
3903836,602384
3839302,602388
3904323,602440
3844706,602444
3848771,602530
3905188,602534
3678044,800838
6001443,887580
9082593,801096
3331941,603344
3402186,603392
3333657,603402
3334216,603410
3490961,603434
3402708,603460
9087550,801456
9080849,801664
3334584,603646
3334371,603670
3334182,603676
3334814,603690
3334807,603692
9278840,603740
9286746,603768
9288249,603792
3334852,603866
3335174,603868
8874647,1920900
3882562,604010
3335538,604500
3405712,604550
3406199,604552
3407129,604554
3407497,604556
3408252,604558
3408427,604560
3400236,604612
3400229,604614
3400195,604616
3401981,604688
3401778,604702
1835511,1067226
3856512,1350402
3171314,604798
3171297,604800
3172007,604812
3171981,604816
1018778,947602
3173996,605120
9275647,605172
9278479,605182
9278321,605220
9278259,605234
9278211,605248
9275719,605276
3963027,882072
3964002,882076
5765292,1443981
2852713,606278
3028003,606296
2862662,606464
2864749,606576
9272774,606658
2866596,606670
9268111,606746
4271000,1346487
9352670,606990
9014396,607574
5668942,607736
9031269,608698
2601335,608786
3673544,608818
3650574,608826
4230429,608848
2610838,608858
8754468,608870
1618707,1068570
8755034,608948
9248832,608954
3988514,609380
6006840,609500
4239767,609560
4239712,609672
3675755,609730
3678680,609744
2128739,609862
2128715,609866
2128708,609868
2128698,609870
4272669,1360559
4232568,610028
4231019,610042
5800504,610410
6092256,611234
4296016,1360565
3334797,611356
4144955,1346481
3176292,611962
3176278,611964
4424266,612256
5401068,612514
5401075,612520
1917185,1120736
7304871,613010
7322987,613360
4047722,1350408
6093602,613888
6093516,613890
4381268,613900
4386311,613982
4278577,1360569
8706911,597882
4438630,614488
8651293,614556
1380066,1070818
4602545,885924
2320599,623414
4173799,1350410
7020629,600408
1432110,1072108
7020430,600486
7020708,600630
8706595,626208
3974944,858682
4179638,1350414
3969935,628446
3951163,628714
6097048,887690
6097024,887706
6259192,1524270
3973677,632216
1709915,1075158
1718140,1075298
8579313,1752457
4308636,553850
5448083,1468201
6240077,560066
6247829,560806
6244066,563140
6232267,563162
7390366,828794
4329426,567088
9281174,567222
6060958,1525980
9034259,888350
1281378,961502
9148248,952010
4389150,952032
4389143,952034
9801114,570644
1919279,1099808
2032409,1099986
6343620,970134
6109534,577148
6092201,577390
6095693,578118
1524523,1102546
7066645,1556438
9063828,698042
9010857,580322
7325850,724528
1609709,1063510
1625020,1063516
1663666,1063518
3951802,736054
3951709,736064
1918524,1120742
2265276,1122018
6256401,1527975
1668018,1122100
7325915,746952
4250588,748010
4006426,748022
7390373,753310
6096465,753430
6096458,753432
6095538,753436
8570532,753708
3498468,763504
3678996,763532
9090451,765072
2149976,1123266
2149347,1123290
2059695,1123330
2249618,1123342
2143848,1123348
2143738,1123352
6344416,1525984
2342436,586520
2059891,1185792
2467919,1185800
9806016,790886
9805990,790890
7003732,790986
7405392,791010
7114645,791056
7004535,791078
7114717,791082
7204751,791298
2699127,791380
2699079,791390
2699062,791392
2699055,791394
2699017,791400
2699000,791402
2697552,791412
2699323,791444
2699914,791488
3498437,1124574
2699763,791526
9062111,791640
9081824,791658
8651004,791714
9396777,1894151
7194098,1553013
1084685,1037506
4440398,792190
4436759,792192
4436553,792196
8791885,1817534
6243971,792424
9063134,792492
9058761,792500
1274330,792642
4500953,793444
4500946,793446
4500939,793448
3678178,793836
4152648,794248
4152026,794392
6006280,795608
8333267,795618
6006170,795620
9059179,795670
2955823,1209646
5402854,795790
9065716,795802
9805945,795814
9805938,795816
9074934,795836
9805952,796082
8801191,1823409
2108917,796566
9069970,796578
9069963,796580
2129233,796602
2129147,796640
2129013,796712
2031912,796760
2031905,796764
9073124,796914
9073052,796944
9073368,797172
9073320,797200
9393110,1894153
9084759,797392
2145231,1124818
9066519,797604
9062135,797666
9057315,798024
8616946,798048
9066801,798068
8501680,798416
8550954,798454
8505655,798468
8505466,798476
4083580,798766
7434985,1556444
9806009,790888
1282669,1042016
7021460,799588
1217672,1042018
3322754,800036
3324099,800046
4008156,956556
9058345,800150
3335686,800214
9061882,792534
3834486,800702
3870763,800704
3904024,800714
3904660,800718
3905092,800726
3904842,800758
3906297,800768
9075672,800894
3907344,800920
3907289,800946
3907351,801042
9072998,797004
3907629,801092
9082603,801094
9059753,801238
1224122,1042022
7032497,1550521
1213858,1042024
9084883,801584
1229402,1042028
9080746,801670
2274281,1158464
2486268,1126018
9075067,801792
9055441,959002
7004937,959118
9088535,802134
9143786,959234
1282896,1042038
9142385,959260
9142347,959262
9094536,802928
7021628,803004
7021594,803074
5636242,803204
2414508,803698
7288715,1568862
8626754,1752855
3335693,800212
9076585,809502
3673441,809516
1578768,1126358
9075878,800912
8581370,816540
8323088,548176
8570556,822050
8336491,889142
8336484,889144
4245249,1313971
2033525,586410
2353030,586544
3952856,934534
2190523,586692
2194969,586838
2198006,587088
2199380,587330
1166321,1005274
6173481,890392
6173467,890404
1924855,1099806
8011792,592264
9055018,986586
3974171,843064
7256596,1556446
9140019,977014
3324549,987614
7004676,896044
6342827,896068
6342810,896074
6342803,896078
9106479,896180
1908369,1120722
1878750,1121004
8706021,597572
4388388,898528
9102837,899080
8505239,590502
9115776,899176
2135540,1123280
3679524,907566
1584460,1093234
9116201,908040
9114629,908102
3324460,908532
3679737,908580
9112212,908590
3653351,908734
3679689,908744
9111718,908752
3653203,908762
3679586,908768
9108453,908772
9108398,908788
9108381,908792
3653399,908806
3653382,908808
9116256,908810
3907980,908882
6068833,1477873
1380169,1023720
9122051,909178
2268455,1124820
1278532,909384
8337373,993844
6996950,1550527
9152069,994066
5469550,911208
9126851,911430
7022050,911462
7022036,911466
7022012,911470
7022081,911494
7022074,911496
5469275,911584
9278826,912074
9099737,912138
9100073,912394
5800755,912754
1527616,1086028
4989062,1403517
4438207,913084
4440817,913138
4388814,913214
4085997,1334657
9109579,913326
9109531,913328
9099218,913350
2327994,913588
2245894,913612
2246109,913622
2246099,913626
1419834,1039010
1437940,1039012
1027398,995430
3919765,1326995
8627241,1752857
3452095,914388
7004896,914516
3450815,914584
3450592,914616
6511218,914636
6511191,914640
6511270,914642
3451247,914648
6511562,914686
6511555,914688
6511548,914690
6511531,914692
8627423,1752859
3451663,914708
9109184,914752
9109153,914758
9109232,914770
9130957,914796
8551166,914910
9096149,915162
6249267,915224
1112959,915480
1112942,915482
1112935,915484
4250090,916096
7305320,916196
7208128,916222
9108219,916360
4008424,916540
9104653,916570
9107083,916604
2629771,1334991
6094694,917360
8334905,917392
8335708,917414
9031207,917462
2677204,1190900
8551214,917878
8614168,917956
9049691,917992
9049646,917994
1420579,996958
9122525,918062
9047882,918104
9112164,918142
7097425,1556450
7328572,936522
2147806,1129092
1069143,959612
1068663,959614
1065714,959616
1064313,959618
1062731,959620
9142952,959622
2661344,1183014
2576161,1183018
2471682,1183020
2469106,1183022
2649995,1183024
2594507,1183026
2664200,1183028
2649562,1183030
3998951,1349642
1069693,963874
6005982,964618
6818193,1539812
2599832,1183032
2629616,1183036
6173670,965564
1849260,1087226
6097426,965678
9060357,970050
6343644,970130
6343637,970132
6343558,970196
6343541,970198
1286627,1183110
8707587,974726
9139934,975002
4298179,1360829
4347350,1360831
4287654,1360833
4346296,1360847
1930904,1930328
3951792,749788
1286665,984160
1229842,984162
9143621,986612
9147029,986632
9155224,986652
9154586,986654
9147074,986702
9060182,986714
9149065,986926
1297393,986946
1084104,986966
3878325,987004
3199619,1217022
3324776,987628
3324769,987630
4602576,987962
1423105,988000
7406164,988038
7406157,988040
5408212,988046
5408188,988052
9152052,988072
9152825,988076
1165748,988110
9157789,988194
9158018,988216
9157332,988218
9157318,988242
9155695,988362
9157363,988366
9155671,988370
1679595,1063552
7923953,1619494
2129350,988448
2129893,988516
2129862,988528
2327671,988738
9063914,988766
9062386,988782
9062348,988786
8336501,889140
2187103,988864
9186066,1817538
2247885,989554
1212990,990352
1165140,990358
1097232,990360
1093432,990362
1431506,990366
1219292,990798
9147830,990938
9147782,990964
9075919,990972
1217476,991050
9144558,991212
9151644,991214
6006156,991244
6006541,991276
2698836,991390
2698719,991394
2699749,991416
2699639,991418
4153939,991428
4153843,991436
4154086,991440
4153836,991442
4154017,991458
4153953,991460
9080595,991504
9080588,991508
9080557,991512
4272463,1360867
9806140,991594
1384938,991602
5407921,991790
5407990,991794
8572389,1752867
9142031,992454
9141630,992490
9135134,993116
2556026,993470
9135505,993638
9135457,993646
9135440,993648
9135433,993650
3324453,908534
5586770,1471495
8337500,993856
8337490,993858
9111732,908608
4154237,993870
1283338,993890
1147151,993920
4083638,993946
1394612,993958
1086322,994060
1066926,994288
9151273,994334
9151266,994336
1381498,994520
1419212,994706
1375026,994714
1283008,994716
1384677,994718
1289727,994720
2396640,1158486
2396217,1158492
4344614,1360869
1081956,994964
1086700,995028
6746825,1527997
1283613,995184
4441586,995246
4441627,995264
1082742,995436
1081262,995452
1085873,995774
1292271,995830
1165982,996072
1389380,996076
1073593,996244
1166596,996280
1298419,996308
6043865,1487951
7909537,1616720
9139972,997334
1384828,997414
9058204,997808
9145485,997810
1896804,1099046
9138540,997858
9145351,997902
1225516,997934
1211960,997936
1396366,997942
1395013,997944
1379943,997946
4389552,998060
4389538,998066
4389758,998070
4389507,998086
4440381,998176
4440374,998182
9077405,998270
1221417,998310
2675093,998314
4083621,1017184
6097220,887742
1072219,1000866
1226560,1001022
8102395,1613624
7964424,1613626
6342834,896062
1225891,1006012
1381546,1006016
6865940,1556456
4247821,1360911
9129982,911428
7022043,911464
7921845,1616722
2054126,1109828
9102806,912558
9105724,913230
9106981,913310
2037600,1109830
2573346,1131032
2620804,1132016
9101405,913062
4349114,1395755
3928567,1327019
4276885,1376501
2419929,1132650
1290668,1028606
8144652,1613630
8040811,1613632
1389933,1029852
1394784,1029856
1292525,1030512
2284848,1132698
2276911,1132700
2276753,1132702
2389743,1132694
1434187,1035008
2498799,1163886
8438076,1737619
2486598,1133010
2282424,1133014
9106967,913312
7396786,1581493
1289105,1043046
1383616,1045216
4251824,1046516
4251800,1046518
5523939,1046644
1714003,1048016
3466304,1251084
1575857,1048086
1946417,1048512
2488084,1133016
8626345,1752869
1477618,1051082
1518113,1051114
1666687,1052558
1834426,1053098
2484291,1133980
1450446,1053802
1598690,1053836
1466399,1053842
1666773,1053908
1629679,1053910
1948154,1053924
1433683,1053954
1437335,1054022
1472242,1054048
1375033,1054064
2629276,1134828
2627759,1134848
2663029,1134850
2661045,1134854
1873834,1054886
3678604,1055378
2682268,1134936
2494638,1134952
2485757,1134958
1513194,1055868
8337531,993850
2800332,1135076
2477167,1135084
2469405,1135086
2465818,1135088
1627114,1056800
1457810,1057328
1679193,1057656
7908284,1613634
1667129,1057724
1665956,1057818
3595206,1374407
1465211,1061690
1448764,1061788
2579151,1135686
2660888,1135688
2573872,1135690
1527908,1064724
1712342,1064728
1945133,1135836
1739277,1065340
1736809,1065342
1597842,1067026
1415034,1067030
1587247,1067192
1902138,1067214
1478765,1067222
3650536,1067286
3653409,1067298
1395305,1067328
1589733,1067358
1436556,1067440
1512975,1067442
1470646,1067444
1528608,1067446
1625044,1067470
1518986,1067476
1470615,1067486
1619476,1067490
1529999,1067492
1712452,1067506
1514272,1067546
9108446,1067622
9108408,1067624
1678314,1067758
1629741,1067760
1475407,1067766
1596159,1067816
1736328,1067992
1476224,1067996
1817223,1068046
7068959,1555703
1816846,1068622
1464456,1068626
1905544,1068692
1588648,1069720
1515453,1069730
1713190,1069760
1712919,1070166
1709575,1070268
1923265,1070274
1716128,1070372
1845271,1070504
1946747,1070510
1908101,1070522
1572506,1070758
1571930,1070760
1454734,1070798
1479331,1070810
1524011,1070812
1453632,1071106
1443752,1071114
1599424,1071438
1449299,1071530
1578380,1071536
1474350,1071542
1703069,1071566
1527128,1071592
1353206,1945494
1589290,1071632
1618673,1071640
1476736,1071672
1573457,1071686
1424348,1071690
1517004,1071764
1427840,1071876
1619287,1071890
1596623,1071892
1523933,1071912
1706750,1071944
1445341,1071946
1737688,1071966
1439917,1071978
1465448,1072068
1583997,1072076
1625910,1072098
1444139,1072130
1455881,1072288
1669127,1072312
1524729,1072322
1458125,1072350
1456873,1072352
1527647,1072394
1433975,1072426
4348108,1361027
7217999,1072834
7201596,1072840
6503707,1072844
3450712,1072852
3450705,1072854
6510453,1072864
6511438,1072888
6511359,1072890
6511373,1072902
1389610,1072910
1384268,1072914
1464470,1072920
1337253,1072936
1426559,1072950
1423882,1072954
1512212,1072958
8529215,1737621
6527044,1526024
1584219,1073444
1515996,1073448
1705249,1073538
1629497,1073540
1515628,1073552
1514478,1073564
1455379,1073588
1469327,1073592
1679942,1073594
1467123,1073598
1596630,1073640
1905290,1073644
1816200,1073648
1874716,1073656
2763163,1120782
1392528,1073746
1450130,1073778
1525216,1074122
1517530,1074124
1439340,1074126
1526208,1074180
1874967,1074198
1919729,1074210
3912827,1362745
1423291,1074590
1448472,1074716
1473038,1074724
1572166,1074840
1447600,1074854
1471968,1074870
1466296,1074916
4346856,1349748
1668269,1074930
1514100,1074936
1889048,1074970
1703179,1075032
1668843,1075036
1572245,1075154
1624148,1075162
1575871,1075166
1714120,1075176
1625972,1075182
1527252,1075240
1717639,1075242
1896677,1075276
1839603,1075294
5586660,1471543
1626524,1075304
1513297,1075316
6348151,1523224
1516593,1075556
1873724,1090506
1903096,1090508
1889134,1090510
5588936,1471545
8626895,1752875
1839191,1076566
1838697,1076570
1849727,1076590
9108116,1076808
1512690,1076816
1577941,1076866
1457834,1076870
1464937,1076924
1467264,1076998
1719307,1077060
1668245,1077280
1665334,1077282
1472682,1077378
3850398,1349760
3928842,1349762
1736373,1078214
2954886,1281848
1257302,1945496
7066690,1555709
3829972,1349768
2785282,1137024
4026657,1349772
4173548,1349774
4085911,1349776
4048178,1349778
1946077,1097630
6528706,1526028
1983968,1099286
1986288,1099370
